ticker,status,psi_return_1d,ks_p_return_1d,emd_return_1d,vol_ratio_return_1d,rmse_recent,rmse_baseline,rmse_ratio,resid_levene_p,alerts
WDAY,ok,1.5117912212532882,0.19810432875751224,0.007858199000746847,0.6504730172365456,9.711975025506227,64.28220861071145,0.15108340605285153,0.10690806198746548,PSI>0.25; Vol drift
WDAY_v1,no_data,,,,,,,,,
WDAY_v2,no_data,,,,,,,,,
WDAY_v3,no_data,,,,,,,,,
WDAY_v4,no_data,,,,,,,,,
WDAY_v5,no_data,,,,,,,,,
WDAY_v6,no_data,,,,,,,,,
WDAY_v7,no_data,,,,,,,,,
WDAY_v8,no_data,,,,,,,,,
WDAY_v9,no_data,,,,,,,,,
